date,amount,description,category,subcategory
2024-05-06,-79.72,Starbucks,Rent,Gas
2024-05-07,-66.99,Netflix,Rent,Gym Membership
2024-05-08,-47.01,Whole Foods,Groceries,Gas
2024-05-09,-65.1,Whole Foods,Groceries,Streaming
2024-05-10,-96.52,Bookstore,Transport,Streaming
2024-05-11,-47.94,Water Bill,Groceries,Books
2024-05-12,-81.87,Uber,Utilities,Coffee Shop
2024-05-13,-35.79,Netflix,Rent,Apartment Rent
2024-05-14,-77.58,Uber,Transport,Books
2024-05-15,-3.5,Netflix,Groceries,Online Shopping
2024-05-16,-73.5,Gas Station,Utilities,Taxi
2024-05-17,-59.66,Whole Foods,Utilities,Apartment Rent
2024-05-18,-25.59,Water Bill,Groceries,Apartment Rent
2024-05-19,-86.93,Bookstore,Rent,Online Shopping
2024-05-20,-43.18,Water Bill,Groceries,Online Shopping
2024-05-21,-10.79,Water Bill,Transport,Supermarket
2024-05-22,-98.22,Water Bill,Groceries,Books
2024-05-23,-44.46,Uber,Utilities,Online Shopping
2024-05-24,-42.2,Netflix,Groceries,Streaming
2024-05-25,-26.55,Gym,Rent,Gym Membership
2024-05-26,-87.11,Gas Station,Entertainment,Taxi
2024-05-27,-89.61,Rent Payment,Groceries,Books
2024-05-28,-34.34,Water Bill,Rent,Water Bill
2024-05-29,-41.09,Starbucks,Rent,Streaming
2024-05-30,-42.49,Uber,Utilities,Coffee Shop
2024-05-31,-39.61,Bookstore,Rent,Online Shopping
2024-06-01,-70.4,Rent Payment,Rent,Water Bill
2024-06-02,-43.03,Gym,Rent,Online Shopping
2024-06-03,-41.21,Starbucks,Rent,Apartment Rent
2024-06-04,-71.43,Gym,Transport,Streaming
2024-06-05,5.97,Rent Payment,Transport,Apartment Rent
2024-06-06,-35.79,Water Bill,Utilities,Supermarket
2024-06-07,-85.74,Starbucks,Groceries,Apartment Rent
2024-06-08,-30.3,Gym,Rent,Supermarket
2024-06-09,-79.24,Bookstore,Groceries,Supermarket
2024-06-10,-26.39,Netflix,Groceries,Water Bill
2024-06-11,-15.24,Whole Foods,Utilities,Online Shopping
2024-06-12,-74.62,Netflix,Rent,Coffee Shop
2024-06-13,-21.1,Rent Payment,Rent,Apartment Rent
2024-06-14,-37.62,Uber,Entertainment,Streaming
2024-06-15,-25.34,Whole Foods,Groceries,Supermarket
2024-06-16,6.9,Gas Station,Groceries,Online Shopping
2024-06-17,-57.36,Bookstore,Transport,Taxi
2024-06-18,-72.61,Gas Station,Entertainment,Books
2024-06-19,-76.69,Starbucks,Transport,Water Bill
2024-06-20,-74.47,Whole Foods,Transport,Coffee Shop
2024-06-21,-52.31,Gas Station,Transport,Gas
2024-06-22,-39.77,Gas Station,Utilities,Water Bill
2024-06-23,-41.7,Gym,Utilities,Taxi
2024-06-24,-25.18,Netflix,Transport,Books
2024-06-25,-49.61,Gym,Entertainment,Taxi
2024-06-26,-6.39,Whole Foods,Groceries,Apartment Rent
2024-06-27,-57.94,Whole Foods,Entertainment,Supermarket
2024-06-28,31.61,Rent Payment,Rent,Coffee Shop
2024-06-29,-31.23,Gym,Utilities,Gym Membership
2024-06-30,-75.71,Amazon,Groceries,Supermarket
2024-07-01,-82.13,Netflix,Groceries,Gym Membership
2024-07-02,-35.53,Whole Foods,Rent,Books
2024-07-03,-56.7,Rent Payment,Rent,Online Shopping
2024-07-04,-28.58,Gym,Transport,Gas
2024-07-05,-35.8,Netflix,Utilities,Streaming
2024-07-06,-52.18,Gym,Utilities,Supermarket
2024-07-07,-75.4,Gas Station,Entertainment,Coffee Shop
2024-07-08,-95.45,Rent Payment,Transport,Taxi
2024-07-09,-63.4,Netflix,Transport,Coffee Shop
2024-07-10,-24.31,Water Bill,Transport,Books
2024-07-11,-43.58,Starbucks,Transport,Gym Membership
2024-07-12,-87.37,Starbucks,Utilities,Taxi
2024-07-13,-44.8,Netflix,Utilities,Streaming
2024-07-14,-38.44,Gym,Transport,Streaming
2024-07-15,-76.52,Rent Payment,Entertainment,Supermarket
2024-07-16,-45.39,Starbucks,Groceries,Books
2024-07-17,-48.25,Rent Payment,Groceries,Online Shopping
2024-07-18,-84.29,Starbucks,Entertainment,Books
